sample_index,true_label,predicted_label,memory_type,top5_memory_positions,top5_memory_dataset_indices
0,5,5,baseline_random,"82,88,26,6,19","-1,-1,-1,-1,-1"
0,5,5,same_class,"47,80,43,61,46","16,379,379,379,1894"
0,5,5,different_class,"22,46,40,0,93","1927,1930,1930,242,460"
0,5,3,single_repeated,"1,0,2,4,3","1276,1276,1276,1276,1276"
0,5,5,random_samples,"69,18,80,64,30","1163,314,1452,917,276"
0,5,1,very_small_memory,"0,1","667,639"
1,2,2,baseline_random,"2,38,9,79,89","-1,-1,-1,-1,-1"
1,2,2,same_class,"57,33,52,37,40","925,1734,1823,879,127"
1,2,2,different_class,"35,49,8,36,0","155,1398,1398,1693,424"
1,2,2,single_repeated,"1,0,2,4,3","1815,1815,1815,1815,1815"
1,2,2,random_samples,"39,27,24,61,87","127,134,1167,1379,1329"
1,2,2,very_small_memory,"0,1","956,1258"
4,6,5,baseline_random,"84,98,21,88,6","-1,-1,-1,-1,-1"
4,6,5,same_class,"50,82,61,52,35","1566,1548,560,767,1446"
4,6,1,different_class,"13,16,3,58,82","1771,1663,263,1523,9"
4,6,4,single_repeated,"1,0,2,4,3","283,283,283,283,283"
4,6,5,random_samples,"91,27,7,77,41","1368,517,830,761,625"
4,6,4,very_small_memory,"1,0","1422,1001"
10,3,8,baseline_random,"14,18,72,51,83","-1,-1,-1,-1,-1"
10,3,8,same_class,"83,73,69,56,46","1018,1018,1018,1114,1114"
10,3,9,different_class,"1,91,74,45,3","1274,1274,244,244,1632"
10,3,3,single_repeated,"1,0,2,4,3","1306,1306,1306,1306,1306"
10,3,8,random_samples,"63,33,81,6,46","1658,242,277,474,1515"
10,3,6,very_small_memory,"0,1","723,1246"
